nm;A
350;2315
351;2338
352;2362
353;239
354;242
355;2447
356;2479
357;2513
358;2546
359;2576
360;2612
361;2649
362;2685
363;2717
364;2754
365;279
366;2828
367;2864
368;2895
369;2926
370;2955
371;2981
372;3003
373;3023
374;304
375;3055
376;3063
377;3068
378;3069
379;3064
380;3054
381;3043
382;3027
383;3
384;2975
385;2944
386;2903
387;286
388;2817
389;2768
390;2707
391;2643
392;2586
393;2523
394;2452
395;2389
396;2316
397;2239
398;2165
399;2092
400;202
401;1942
402;1868
403;1789
404;1721
405;1655
406;159
407;1524
408;1456
409;1389
410;1327
411;1269
412;1211
413;1154
414;1103
415;1053
416;1007
417;963
418;918
419;879
420;841
421;806
422;775
423;743
424;713
425;684
426;658
427;633
428;61
429;587
430;566
431;546
432;528
433;512
434;494
435;477
436;462
437;449
438;433
439;422
440;411
441;399
442;388
443;378
444;365
445;356
446;344
447;338
448;332
449;322
450;313
451;307
452;3
453;292
454;287
455;28
456;276
457;271
458;264
459;258
460;255
461;248
462;245
463;241
464;236
465;231
466;227
467;224
468;218
469;214
470;21
471;205
472;202
473;197
474;195
475;194
476;192
477;19
478;186
479;184
480;18
481;181
482;177
483;177
484;177
485;179
486;176
487;176
488;175
489;175
490;175
491;176
492;178
493;18
494;18
495;183
496;185
497;191
498;191
499;196
500;198
501;204
502;209
503;213
504;216
505;225
506;231
507;232
508;24
509;25
510;255
511;267
512;271
513;279
514;288
515;294
516;308
517;32
518;33
519;342
520;353
521;365
522;375
523;39
524;401
525;415
526;427
527;445
528;46
529;473
530;488
531;505
532;522
533;541
534;556
535;57
536;588
537;608
538;626
539;649
540;67
541;686
542;708
543;724
544;748
545;77
546;791
547;81
548;831
549;85
550;877
551;897
552;917
553;938
554;958
555;979
556;999
557;1025
558;1046
559;1064
560;1087
561;1105
562;112
563;1139
564;1158
565;1179
566;1197
567;1218
568;1236
569;125
570;1268
571;129
572;1302
573;1314
574;1329
575;1344
576;1359
577;1367
578;1375
579;139
580;1399
581;1407
582;1417
583;1421
584;1433
585;1438
586;1441
587;1447
588;1449
589;1453
590;1455
591;1456
592;1456
593;1448
594;1457
595;1458
596;1449
597;1448
598;1445
599;1438
600;1432
601;1431
602;1417
603;1413
604;1403
605;1398
606;139
607;1379
608;1374
609;136
610;1347
611;1334
612;1324
613;1313
614;1295
615;1289
616;1279
617;1262
618;1251
619;123
620;1223
621;121
622;1192
623;1178
624;1163
625;1149
626;1132
627;1119
628;1106
629;1091
630;1078
631;106
632;1049
633;1034
634;1025
635;1007
636;995
637;981
638;966
639;95
640;938
641;919
642;909
643;896
644;884
645;874
646;856
647;842
648;833
649;819
650;809
651;795
652;784
653;774
654;763
655;75
656;741
657;73
658;722
659;703
660;694
661;687
662;675
663;66
664;655
665;644
666;634
667;626
668;616
669;604
670;598
671;591
672;58
673;572
674;568
675;559
676;547
677;541
678;532
679;525
680;517
681;511
682;504
683;498
684;486
685;483
686;474
687;465
688;46
689;452
690;45
691;44
692;438
693;429
694;422
695;42
696;414
697;408
698;402
699;396
700;39
701;384
702;38
703;376
704;369
705;367
706;36
707;358
708;354
709;345
710;342
711;339
712;344
713;336
714;335
715;324
716;325
717;318
718;326
719;321
720;308
721;315
722;313
723;314
724;314
725;305
726;306
727;306
728;304
729;309
730;305
731;308
732;309
733;303
734;308
735;305
736;302
737;314
738;309
739;322
740;322
741;324
742;326
743;339
744;332
745;342
746;344
747;355
748;361
749;363
750;373
751;394
752;393
753;405
754;413
755;431
756;439
757;451
758;462
759;474
760;489
761;497
762;504
763;53
764;539
765;553
766;567
767;575
768;59
769;608
770;613
771;621
772;634
773;631
774;65
775;652
776;649
777;662
778;664
779;664
780;661
781;66
782;678
783;678
784;673
785;691
786;682
787;681
788;673
789;677
790;683
791;677
792;682
793;686
794;693
795;702
796;696
797;697
798;701
799;709
800;723
801;718
802;737
803;738
804;745
805;755
806;764
807;775
808;777
809;791
810;802
811;817
812;826
813;839
814;853
815;86
816;874
817;895
818;898
819;923
820;936
821;942
822;958
823;971
824;979
825;991
826;1013
827;1033
828;1049
829;1056
830;1074
831;1092
832;1118
833;1137
834;1156
835;1173
836;1185
837;1206
838;1223
839;1246
840;1261
841;1282
842;1298
843;1325
844;1354
845;1364
846;138
847;1409
848;1427
849;1448
850;1481
851;1488
852;1515
853;1539
854;1575
855;1585
856;1609
857;1629
858;1648
859;1683
860;1693
861;1721
862;1748
863;1765
864;1806
865;1821
866;1859
867;1879
868;1896
869;1917
870;1946
871;197
872;2006
873;2026
874;205
875;2072
876;2097
877;2133
878;2159
879;2188
880;2205
881;2241
882;2277
883;2293
884;2312
885;234
886;2374
887;2398
888;2431
889;2466
890;2495
891;2523
892;2544
893;2578
894;2605
895;2631
896;266
897;2675
898;2705
899;274
900;2766
901;2795
902;2835
903;2854
904;2881
905;291
906;2925
907;2953
908;299
909;3019
910;3045
911;3086
912;3106
913;3121
914;3157
915;3176
916;3214
917;3229
918;3245
919;3272
920;3305
921;3329
922;3358
923;338
924;3407
925;3429
926;3463
927;3483
928;3504
929;3527
930;3556
931;3585
932;3603
933;3621
934;3646
935;368
936;3688
937;3713
938;3728
939;3743
940;3764
941;3787
942;3806
943;3826
944;3847
945;3869
946;3883
947;39
948;3917
949;3942
950;3949
951;3965
952;3981
953;3993
954;4015
955;4028
956;4043
957;4061
958;4089
959;4097
960;4112
961;4127
962;4126
963;4148
964;4161
965;4184
966;4184
967;4208
968;4213
969;4227
970;4229
971;4242
972;4254
973;4259
974;4272
975;428
976;4289
977;4299
978;4301
979;431
980;4316
981;4315
982;4322
983;4335
984;4346
985;4354
986;4356
987;4367
988;4368
989;4366
990;4363
991;4369
992;4375
993;4369
994;4374
995;4378
996;4389
997;4396
998;4399
999;4403
1000;443
